,scores,isrc,artist,title,seed_playlist_uri
212,0.7668707455179468,USWD11569886,Idina Menzel,"Making Today a Perfect Day - From ""Frozen Fever""",malaysia_top_test
213,0.766590792230718,USWD10628831,Sheryl Crow,Real Gone,malaysia_top_test
214,0.7642627877642465,USWD10110154,Peabo Bryson,"Whole New World (Aladdin's Theme) - From ""Aladdin""/Soundtrack Version",malaysia_top_test
215,0.7635116913671685,USWD11783647,Gael Garcia Bernal,Remember Me (Lullaby),malaysia_top_test
216,0.763416469786391,USWD10321251,Jason Raize,He Lives In You (Reprise),malaysia_top_test
217,0.7633666269179137,USWD10220229,Paige O'Hara,Something There,malaysia_top_test
218,0.762823487944615,USWD10423476,Roz Ryan,The Gospel Truth II - 『ヘラクレス』より,malaysia_top_test
219,0.7628201228568153,USWD10110145,Elton John,Circle of Life,malaysia_top_test
220,0.7611189531080254,USWD10423428,David Ogden Stiers,"Mine, Mine, Mine",malaysia_top_test
221,0.7607739251979776,USWD10220695,Ed Motta,Estranhos Como Eu (Stranger Like Me),malaysia_top_test
222,0.7601954132696715,USHR10924483,Demi Lovato,Gift of a Friend,malaysia_top_test
223,0.7598657922618184,USWD11365084,Ross Lynch,"Cruisin' for a Bruisin' - From ""Teen Beach Movie""",malaysia_top_test
224,0.7583940751214471,USQ4E1602398,Tori Kelly,"Hallelujah - From ""Sing"" Original Motion Picture Soundtrack",malaysia_top_test
225,0.7574301536982304,USWD10210240,Heidi Mollenhauer,God Help the Outcasts,malaysia_top_test
226,0.7572452450847423,USWD10220408,Si and Am,The Siamese Cat Song,malaysia_top_test
227,0.7570546522889472,USWD10937505,Anna Margaret,Something About the Sunshine,malaysia_top_test
228,0.7555508996270172,USUM71510168,We Love Disney Artists,It's A Small World,malaysia_top_test
229,0.7546092784743577,USWD10423774,Cam Clarke,We Are One,malaysia_top_test
230,0.7545535589885173,USWD11571323,Dove Cameron,Rotten to the Core - 『ディセンダント』より,malaysia_top_test
231,0.7535988121093598,USWD10423142,Phil Collins,Two Worlds Reprise,malaysia_top_test
232,0.7534774637105798,USWD11676303,Sabrina Carpenter,A Dream is a Wish Your Heart Makes/So This is Love,malaysia_top_test
233,0.7521892272224099,USWD10423775,Liz Callaway,Upendi,malaysia_top_test
234,0.75107531719207,USWD11677995,Christopher Jackson,"Where You Are - From ""Vaiana""",malaysia_top_test
235,0.7499290508749227,USWD11779701,China Anne McClain,What's My Name - 『ディセンダント2』より,malaysia_top_test
236,0.749555196443227,CAM460418817,TMC Movie Tunez,"Friend Like Me (From ""Aladdin"")",malaysia_top_test
237,0.7492970092953362,USWD10321867,Bobby Driscoll,"You Can Fly! You Can Fly! You Can Fly! - From ""Peter Pan""/Soundtrack Version",malaysia_top_test
238,0.7487545036437945,USWD11155812,Adam Hicks,"Determinate - From ""Lemonade Mouth""",malaysia_top_test
239,0.7480982519983324,USWD10423930,Jump5,"Aloha, E Komo Mai - From ""Lilo & Stitch: The Series""",malaysia_top_test
