,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
6864,530,Tallahassee-Thomasville,972,1,1.736161447736419e-05
26749,862,Sacramnto-Stkton-Modesto,378,1,1.736161447736419e-05
7030,532,Albany-Schenectady-Troy,199,1,1.736161447736419e-05
6863,530,Tallahassee-Thomasville,963,1,1.736161447736419e-05
26745,862,Sacramnto-Stkton-Modesto,356,1,1.736161447736419e-05
26743,862,Sacramnto-Stkton-Modesto,330,1,1.736161447736419e-05
26742,862,Sacramnto-Stkton-Modesto,328,1,1.736161447736419e-05
7039,532,Albany-Schenectady-Troy,220,1,1.736161447736419e-05
4221,515,Cincinnati,443,1,1.736161447736419e-05
6862,530,Tallahassee-Thomasville,841,1,1.736161447736419e-05
26975,866,Fresno-Visalia,191,1,1.736161447736419e-05
26976,866,Fresno-Visalia,208,1,1.736161447736419e-05
26413,839,Las Vegas,667,1,1.736161447736419e-05
7343,533,Hartford & New Haven,346,1,1.736161447736419e-05
7344,533,Hartford & New Haven,347,1,1.736161447736419e-05
27050,866,Fresno-Visalia,980,1,1.736161447736419e-05
7345,533,Hartford & New Haven,349,1,1.736161447736419e-05
7347,533,Hartford & New Haven,368,1,1.736161447736419e-05
7350,533,Hartford & New Haven,378,1,1.736161447736419e-05
831,501,New York,948,1,1.736161447736419e-05
6654,529,Louisville,275,1,1.736161447736419e-05
6652,529,Louisville,257,1,1.736161447736419e-05
7354,533,Hartford & New Haven,432,1,1.736161447736419e-05
7356,533,Hartford & New Haven,454,1,1.736161447736419e-05
7357,533,Hartford & New Haven,456,1,1.736161447736419e-05
27053,866,Fresno-Visalia,986,1,1.736161447736419e-05
6649,529,Louisville,221,1,1.736161447736419e-05
6648,529,Louisville,220,1,1.736161447736419e-05
7362,533,Hartford & New Haven,485,1,1.736161447736419e-05
26476,839,Las Vegas,884,1,1.736161447736419e-05
27057,868,Chico-Redding,322,1,1.736161447736419e-05
7363,533,Hartford & New Haven,490,1,1.736161447736419e-05
7364,533,Hartford & New Haven,493,1,1.736161447736419e-05
6647,529,Louisville,212,1,1.736161447736419e-05
6645,529,Louisville,207,1,1.736161447736419e-05
844,501,New York,961,1,1.736161447736419e-05
27060,868,Chico-Redding,554,1,1.736161447736419e-05
6655,529,Louisville,276,1,1.736161447736419e-05
7342,533,Hartford & New Haven,342,1,1.736161447736419e-05
7311,533,Hartford & New Haven,236,1,1.736161447736419e-05
7341,533,Hartford & New Haven,338,1,1.736161447736419e-05
6669,529,Louisville,327,1,1.736161447736419e-05
7315,533,Hartford & New Haven,274,1,1.736161447736419e-05
7319,533,Hartford & New Haven,282,1,1.736161447736419e-05
7320,533,Hartford & New Haven,284,1,1.736161447736419e-05
7321,533,Hartford & New Haven,287,1,1.736161447736419e-05
6668,529,Louisville,323,1,1.736161447736419e-05
26502,839,Las Vegas,924,1,1.736161447736419e-05
7323,533,Hartford & New Haven,290,1,1.736161447736419e-05
7325,533,Hartford & New Haven,295,1,1.736161447736419e-05
6667,529,Louisville,319,1,1.736161447736419e-05
6666,529,Louisville,315,1,1.736161447736419e-05
6664,529,Louisville,307,1,1.736161447736419e-05
7330,533,Hartford & New Haven,321,1,1.736161447736419e-05
6663,529,Louisville,306,1,1.736161447736419e-05
26494,839,Las Vegas,916,1,1.736161447736419e-05
6660,529,Louisville,293,1,1.736161447736419e-05
7334,533,Hartford & New Haven,327,1,1.736161447736419e-05
6659,529,Louisville,288,1,1.736161447736419e-05
7335,533,Hartford & New Haven,328,1,1.736161447736419e-05
6657,529,Louisville,283,1,1.736161447736419e-05
27046,866,Fresno-Visalia,961,1,1.736161447736419e-05
27047,866,Fresno-Visalia,963,1,1.736161447736419e-05
7338,533,Hartford & New Haven,333,1,1.736161447736419e-05
7368,533,Hartford & New Haven,547,1,1.736161447736419e-05
7370,533,Hartford & New Haven,553,1,1.736161447736419e-05
27062,868,Chico-Redding,834,1,1.736161447736419e-05
27063,868,Chico-Redding,891,1,1.736161447736419e-05
7407,533,Hartford & New Haven,820,1,1.736161447736419e-05
7408,533,Hartford & New Haven,840,1,1.736161447736419e-05
4170,515,Cincinnati,208,1,1.736161447736419e-05
6629,529,Louisville,073,1,1.736161447736419e-05
7411,533,Hartford & New Haven,852,1,1.736161447736419e-05
7412,533,Hartford & New Haven,853,1,1.736161447736419e-05
7413,533,Hartford & New Haven,857,1,1.736161447736419e-05
7421,533,Hartford & New Haven,916,1,1.736161447736419e-05
4169,515,Cincinnati,193,1,1.736161447736419e-05
7423,533,Hartford & New Haven,920,1,1.736161447736419e-05
7425,533,Hartford & New Haven,924,1,1.736161447736419e-05
26423,839,Las Vegas,763,1,1.736161447736419e-05
26422,839,Las Vegas,761,1,1.736161447736419e-05
6623,529,Louisville,030,1,1.736161447736419e-05
6621,529,Louisville,016,1,1.736161447736419e-05
26420,839,Las Vegas,754,1,1.736161447736419e-05
7442,533,Hartford & New Haven,983,1,1.736161447736419e-05
7444,533,Hartford & New Haven,985,1,1.736161447736419e-05
654,501,New York,639,1,1.736161447736419e-05
26416,839,Las Vegas,681,1,1.736161447736419e-05
26415,839,Las Vegas,672,1,1.736161447736419e-05
27091,881,Spokane,077,1,1.736161447736419e-05
27092,881,Spokane,091,1,1.736161447736419e-05
7406,533,Hartford & New Haven,809,1,1.736161447736419e-05
7404,533,Hartford & New Haven,804,1,1.736161447736419e-05
26441,839,Las Vegas,801,1,1.736161447736419e-05
27071,868,Chico-Redding,925,1,1.736161447736419e-05
7373,533,Hartford & New Haven,601,1,1.736161447736419e-05
7375,533,Hartford & New Haven,603,1,1.736161447736419e-05
27065,868,Chico-Redding,906,1,1.736161447736419e-05
7380,533,Hartford & New Haven,637,1,1.736161447736419e-05
27066,868,Chico-Redding,910,1,1.736161447736419e-05
7382,533,Hartford & New Haven,662,1,1.736161447736419e-05
7384,533,Hartford & New Haven,681,1,1.736161447736419e-05
6641,529,Louisville,190,1,1.736161447736419e-05
7385,533,Hartford & New Haven,701,1,1.736161447736419e-05
4172,515,Cincinnati,211,1,1.736161447736419e-05
6636,529,Louisville,122,1,1.736161447736419e-05
6630,529,Louisville,074,1,1.736161447736419e-05
7389,533,Hartford & New Haven,758,1,1.736161447736419e-05
4171,515,Cincinnati,209,1,1.736161447736419e-05
27075,868,Chico-Redding,939,1,1.736161447736419e-05
26452,839,Las Vegas,838,1,1.736161447736419e-05
26450,839,Las Vegas,836,1,1.736161447736419e-05
6631,529,Louisville,100,1,1.736161447736419e-05
26447,839,Las Vegas,820,1,1.736161447736419e-05
26446,839,Las Vegas,816,1,1.736161447736419e-05
7397,533,Hartford & New Haven,784,1,1.736161447736419e-05
27080,868,Chico-Redding,951,1,1.736161447736419e-05
